PV;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
alla jääma;1;2;2;2;2;3;4;4;4;4;;;;;;;;;;
alla käima;1;1;2;2;2;2;2;4;4;5;5;5;;;;;;;;
alla laadima;1;1;1;3;3;3;4;4;5;5;;;;;;;;;;
alla tingima;3;3;3;4;4;4;5;5;5;5;;;;;;;;;;
edasi jõudma;2;3;3;3;3;3;4;4;4;4;;;;;;;;;;
edasi müüma;2;3;4;4;4;4;4;4;5;5;5;5;5;;;;;;;
eemale tõukama;3;3;5;5;5;5;5;5;5;5;5;5;;;;;;;;
esile tükkima;1;3;3;3;4;4;4;4;4;5;;;;;;;;;;
ette andma;2;3;4;4;4;4;4;4;5;5;;;;;;;;;;
ette hei teatma;1;1;1;1;1;2;3;4;5;5;5;5;;;;;;;;
ette jõudma;4;4;4;4;5;5;5;5;5;5;5;;;;;;;;;
ette kandma;2;2;2;2;3;3;3;3;3;3;4;4;5;5;5;;;;;
ette kavatsema;1;3;3;3;3;3;4;4;4;5;5;5;5;;;;;;;
ette kujutama;1;2;3;3;3;3;4;4;4;4;4;;;;;;;;;
ette käima;2;2;2;3;3;3;4;4;4;5;5;;;;;;;;;
ette küsima;1;1;2;2;3;4;4;4;4;4;5;5;;;;;;;;
ette lugema;1;3;3;3;3;3;4;4;4;4;4;5;5;5;;;;;;
ette maksma;3;4;4;4;4;4;4;4;5;5;5;5;5;;;;;;;
ette nägema;1;1;3;3;4;4;4;4;5;5;5;;;;;;;;;
ette sattuma;2;3;3;4;4;5;5;5;5;5;;;;;;;;;;
ette vaatama;1;1;2;2;3;3;3;4;4;4;;;;;;;;;;
ette valmistama;2;2;4;4;4;4;4;5;5;5;;;;;;;;;;
ette valmistuma;2;2;2;4;4;4;4;4;4;4;5;5;;;;;;;;
ette võtma;1;1;1;2;3;3;3;3;5;5;5;;;;;;;;;
juurde tulema;2;3;3;4;4;4;5;5;5;5;5;5;5;5;;;;;;
juurde tõmbama;1;2;2;2;3;3;3;4;4;4;4;5;5;5;5;;;;;
järele kihutama;4;4;4;4;4;5;5;5;5;5;5;;;;;;;;;
järele vahtima;3;3;4;4;5;5;5;5;5;5;5;;;;;;;;;
kaasa sündima;1;2;2;4;4;4;4;5;5;5;;;;;;;;;;
kaasa tooma;1;2;4;4;4;4;4;4;5;5;5;5;5;5;;;;;;
kaasa tõmbama;1;2;2;2;2;2;3;3;3;3;3;4;4;4;4;4;4;4;5;5
kinni käima;2;2;2;2;3;3;4;4;5;5;5;5;5;5;5;;;;;
kinni maksma;1;1;1;1;2;2;2;2;3;3;3;3;4;4;;;;;;
kinni minema;1;2;2;2;3;3;3;3;4;4;4;;;;;;;;;
kinni pidama;3;3;3;4;4;4;4;5;5;5;5;5;;;;;;;;
kinni traageldama;1;4;4;5;5;5;5;5;5;5;5;5;;;;;;;;
kokku kiskuma;2;3;4;4;5;5;5;5;5;5;;;;;;;;;;
kokku koguma;2;3;3;4;4;5;5;5;5;5;;;;;;;;;;
kokku kuhjama;4;4;4;4;4;4;5;5;5;5;;;;;;;;;;
kokku leppima;1;2;2;2;3;3;3;3;4;5;;;;;;;;;;
kokku monteerima;2;2;3;3;5;5;5;5;5;5;5;5;;;;;;;;
kokku sättima;2;3;4;4;5;5;5;5;5;5;;;;;;;;;;
kokku taguma;2;2;3;3;3;4;4;4;5;5;5;5;;;;;;;;
kokku valguma;2;3;3;3;4;4;5;5;5;5;;;;;;;;;;
külge jääma;2;3;4;4;4;4;4;5;5;5;5;;;;;;;;;
lahti pääsema;1;1;3;3;4;4;5;5;5;5;;;;;;;;;;
lahti siduma;1;1;2;3;3;4;4;4;5;5;5;5;;;;;;;;
lahti voltima;3;4;4;4;4;4;5;5;5;5;;;;;;;;;;
ligi pääsema;2;3;3;3;4;5;5;5;5;5;;;;;;;;;;
läbi kaaluma;1;1;1;2;2;2;4;4;5;5;;;;;;;;;;
läbi kobama;1;3;3;4;4;4;4;4;5;5;5;;;;;;;;;
läbi kuluma;2;3;3;4;4;4;4;4;5;5;;;;;;;;;;
läbi laskma;1;2;3;4;4;5;5;5;5;5;;;;;;;;;;
läbi lendama;1;2;2;2;3;3;3;4;4;4;5;5;;;;;;;;
läbi peksma;1;1;2;2;3;3;4;4;4;5;5;;;;;;;;;
läbi põletama;1;2;2;2;2;3;3;3;3;5;5;;;;;;;;;
läbi sadama;2;2;3;3;3;3;3;3;3;4;5;;;;;;;;;
läbi tuhnima;2;3;4;5;5;5;5;5;5;5;5;;;;;;;;;
läbi tungima;4;4;4;4;4;4;4;5;5;5;5;;;;;;;;;
läbi uurima;1;2;3;3;4;4;4;5;5;5;5;5;;;;;;;;
läbi vaatama;3;3;3;3;4;4;4;4;4;5;;;;;;;;;;
läbi viima;1;1;1;1;2;2;2;2;2;3;3;4;4;5;;;;;;
maha jahtuma;1;1;2;2;2;2;3;3;3;3;4;4;;;;;;;;
maha kustutama;2;2;2;2;3;3;4;4;5;5;5;5;;;;;;;;
maha kõmmutama;1;1;2;2;3;3;3;3;4;4;4;4;4;5;5;;;;;
maha käima;1;1;2;2;2;2;3;3;4;4;4;;;;;;;;;
maha minema;2;2;3;3;3;4;4;4;5;5;;;;;;;;;;
maha müüma;1;1;1;2;2;3;3;3;4;5;;;;;;;;;;
maha põlema;2;2;2;3;4;4;4;5;5;5;;;;;;;;;;
maha rahunema;1;1;2;2;2;3;3;4;4;4;5;;;;;;;;;
maha suruma;1;3;3;3;3;3;3;5;5;5;5;;;;;;;;;
maha tapma;1;1;2;2;3;3;3;3;4;4;5;;;;;;;;;
maha tõmbama;3;3;3;3;4;4;4;4;4;5;5;5;;;;;;;;
mööda käima;2;3;3;3;3;3;4;5;5;5;5;;;;;;;;;
otsa sõitma;2;3;3;3;3;4;4;5;5;5;5;5;5;5;;;;;;
peale hakkama;1;1;2;2;2;2;3;3;3;5;5;;;;;;;;;
peale tungima;2;2;2;2;2;3;3;3;4;4;4;;;;;;;;;
sisse kallama;3;3;3;3;4;4;4;4;4;4;5;5;5;5;5;5;;;;
sisse kutsuma;1;4;4;5;5;5;5;5;5;5;5;5;5;;;;;;;
sisse torkama;2;2;3;3;4;4;4;5;5;5;5;;;;;;;;;
sisse vaatama;3;4;4;4;4;5;5;5;5;5;;;;;;;;;;
taga kihutama;1;1;1;1;2;2;3;3;3;3;4;;;;;;;;;
taga nutma;2;2;2;2;2;2;2;3;3;3;4;4;4;4;5;;;;;
tagant tõukama;1;3;3;4;4;5;5;5;5;5;;;;;;;;;;
tagasi hoidma;3;3;4;4;4;4;5;5;5;5;;;;;;;;;;
tagasi minema;3;3;4;5;5;5;5;5;5;5;5;5;;;;;;;;
tagasi põrkama;2;2;2;2;3;3;4;5;5;5;;;;;;;;;;
tagasi tulema;2;3;3;4;4;4;5;5;5;5;;;;;;;;;;
tagasi vaatama;1;2;4;4;4;5;5;5;5;5;;;;;;;;;;
täis kiiluma;2;2;2;3;3;4;4;4;5;5;5;5;5;5;;;;;;
vahele kukkuma;1;1;1;2;2;2;2;2;3;3;5;;;;;;;;;
vastu hakkama;2;2;3;3;3;4;4;5;5;5;;;;;;;;;;
vastu kajama;1;2;2;2;3;3;3;3;3;4;4;4;5;;;;;;;
vastu kostma;3;3;3;4;4;4;4;4;5;5;5;5;5;5;;;;;;
vastu küsima;1;2;3;3;4;4;5;5;5;5;5;5;;;;;;;;
vastu panema;2;2;2;2;2;2;3;3;3;4;5;5;5;;;;;;;
vastu pidama;2;2;2;3;3;3;3;4;5;5;;;;;;;;;;
vastu põrutama;1;1;1;1;1;2;2;2;2;3;3;4;;;;;;;;
vastu raiuma;1;1;1;1;1;2;2;2;3;3;4;5;5;;;;;;;
vastu rääkima;2;2;3;3;3;3;4;4;4;4;5;5;;;;;;;;
vastu vahtima;1;2;2;2;3;3;4;4;4;4;4;;;;;;;;;
vastu võtma;1;2;2;3;3;3;3;4;4;5;5;5;5;;;;;;;
välja ajama;2;3;3;3;3;4;4;4;5;5;5;5;;;;;;;;
välja andma;1;1;2;2;2;3;3;4;4;4;5;5;;;;;;;;
välja hei teatma;2;2;2;2;3;4;4;4;4;4;4;5;5;;;;;;;
välja hüüdma;2;2;3;3;4;4;4;4;4;5;5;;;;;;;;;
välja ilmuma;2;3;3;3;3;3;4;4;5;5;5;5;;;;;;;;
välja jääma;1;3;4;4;4;5;5;5;5;5;5;;;;;;;;;
välja kostma;1;2;2;4;4;4;4;5;5;5;;;;;;;;;;
välja kuulutama;1;1;2;3;3;4;4;4;4;4;5;;;;;;;;;
välja loosima;1;1;1;2;4;4;4;5;5;5;5;5;;;;;;;;
välja mõõtma;2;2;2;2;3;3;3;3;3;3;4;4;;;;;;;;
välja nägema;1;1;1;2;2;2;2;2;3;3;;;;;;;;;;
välja näitama;2;4;4;4;4;4;4;5;5;5;;;;;;;;;;
välja paiskama;2;3;3;3;4;4;4;4;5;5;5;5;;;;;;;;
välja pakkima;1;1;2;2;2;3;4;4;5;5;5;5;;;;;;;;
välja pilduma;1;2;3;3;3;3;4;4;4;4;5;5;5;5;;;;;;
välja pistma;4;4;4;4;4;4;4;4;5;5;5;5;5;5;;;;;;
välja puhastama;1;2;2;2;2;3;4;4;4;4;5;;;;;;;;;
välja pääsema;2;3;3;4;4;4;4;5;5;5;5;;;;;;;;;
välja registreerima;1;1;2;2;3;3;4;4;4;5;5;5;;;;;;;;
välja rändama;1;2;4;4;4;5;5;5;5;5;;;;;;;;;;
välja saagima;1;3;4;4;5;5;5;5;5;5;5;5;5;5;;;;;;
välja suitsetama;2;2;2;2;3;3;3;4;4;4;5;5;;;;;;;;
välja sulama;2;2;4;4;4;4;4;5;5;5;5;5;5;;;;;;;
välja sülgama;2;2;2;3;3;3;3;4;4;4;4;4;4;5;;;;;;
välja tahuma;1;2;3;3;3;3;4;4;4;5;5;5;5;5;;;;;;
välja tõrjuma;2;3;4;5;5;5;5;5;5;5;5;;;;;;;;;
välja venima;1;2;2;2;3;3;3;3;4;4;;;;;;;;;;
ühte hoidma;1;1;2;2;2;3;3;4;4;4;4;5;;;;;;;;
üle andma;1;2;4;4;4;5;5;5;5;5;;;;;;;;;;
üle küsima;1;1;2;2;2;3;3;3;3;3;5;5;;;;;;;;
üle libisema;1;2;2;3;3;4;4;4;4;5;5;;;;;;;;;
üle lugema;2;2;3;3;4;4;4;4;5;5;5;5;5;;;;;;;
üle pakkuma;1;1;2;2;2;2;4;4;4;4;5;;;;;;;;;
üle pesema;2;2;3;3;4;4;4;4;4;5;5;5;5;5;5;;;;;
üle tooma;1;2;2;3;3;4;4;4;4;4;5;5;5;;;;;;;
üles ehmatama;1;2;2;2;3;3;3;4;4;5;;;;;;;;;;
üles harima;1;1;1;2;3;3;3;3;3;3;5;5;;;;;;;;
üles joonistama;2;2;2;2;2;4;4;5;5;5;;;;;;;;;;
üles kasvama;1;2;2;2;2;3;3;3;3;4;4;4;4;4;5;5;;;;
üles kloppima;1;1;1;2;2;2;2;2;2;3;3;3;;;;;;;;
üles käänama;2;2;3;3;4;4;5;5;5;5;;;;;;;;;;
üles kündma;1;2;3;4;4;4;4;4;4;5;5;;;;;;;;;
üles peksma;1;1;1;2;2;3;3;3;5;5;5;;;;;;;;;
üles seadma;1;2;2;2;2;3;3;3;3;3;4;4;5;;;;;;;
üles soojenema;1;1;1;3;3;3;3;3;4;4;;;;;;;;;;
üles tursuma;2;3;3;3;4;4;4;5;5;5;5;5;5;;;;;;;
ümber asuma;1;1;1;2;3;3;4;4;4;5;;;;;;;;;;
ümber kehastuma;1;1;2;2;3;3;3;4;4;5;5;5;;;;;;;;
ümber kohendama;2;2;3;4;4;4;4;5;5;5;;;;;;;;;;
ümber kukkuma;2;2;2;2;3;3;3;4;4;4;5;5;5;5;5;5;;;;
ümber mõtlema;1;1;1;2;3;3;4;4;5;5;;;;;;;;;;
ümber paigutama;1;3;4;4;4;4;4;5;5;5;5;5;5;;;;;;;
ümber reastuma;1;1;2;3;4;4;5;5;5;5;5;;;;;;;;;
ümber riietama;1;1;1;1;3;4;4;5;5;5;;;;;;;;;;
ümber ristima;1;1;2;2;2;2;2;2;3;4;4;5;5;5;5;;;;;
